,model,brand,price,sold_year,seller,km_driven,owner_type,fuel,gear,mileage,engine,power,torque,wheel_size,seats,_
249,2013Volkswagen Vento Diesel Highline,Volkswagen,4 Lakh*,2013,Dealer,"98,000 kms",First Owner,Diesel,Manual,Mileage20.54 kmpl,Engine1598 CC,Max Power103.6 bhp,Torque250Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,
250,2015Volkswagen Polo 2015-2019 1.5 TDI Highline,Volkswagen,5.5 Lakh*,2015,Dealer,"60,000 kms",First Owner,Diesel,Manual,Mileage20.14 kmpl,Engine1498 CC,Max Power88 bhp,Torque230Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,
251,2015Volkswagen Polo 1.2 MPI Trendline,Volkswagen,3.75 Lakh*,2015,Dealer,"71,023 kms",First Owner,Petrol,Manual,Mileage18.78 kmpl,Engine1198 CC,Max Power74 bhp,Torque110Nm@ 3000-4300rpm,Wheel Size14,Seats5,
252,2018Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Volkswagen,9.9 Lakh*,2018,Dealer,"30,100 kms",First Owner,Diesel,Automatic,Mileage21.5 kmpl,Engine1498 CC,Max Power108.5 bhp,Torque250Nm@ 1500-3000rpm,Wheel SizeN/A,Seats5,
253,2014Volkswagen Polo 1.5 TDI Comfortline,Volkswagen,4.25 Lakh*,2014,Dealer,"60,000 kms",Second Owner,Diesel,Manual,Mileage20.14 kmpl,Engine1498 CC,Max Power88.8 bhp,Torque230Nm@ 1500-2500rpm,Wheel Size15,Seats5,
254,2014Volkswagen Polo 1.2 MPI Highline,Volkswagen,4.4 Lakh*,2014,Dealer,"53,449 kms",First Owner,Petrol,Manual,Mileage16.47 kmpl,Engine1198 CC,Max Power74 bhp,Torque110Nm@ 3750rpm,Wheel SizeN/A,Seats5,
255,2017Volkswagen Ameo 1.2 MPI Highline,Volkswagen,6 Lakh*,2017,Dealer,"8,434 kms",First Owner,Petrol,Manual,Variant -  1.2 MPI Highline,Mileage17.0 kmpl,Engine1198 CC,Max Power73.75 bhp,Torque110Nm@ 3750rpm,Wheel SizeN/A,Seats5
256,2015Volkswagen Vento 1.5 TDI Highline AT,Volkswagen,6.65 Lakh*,2015,Dealer,"81,800 kms",First Owner,Diesel,Automatic,Mileage22.15 kmpl,Engine1498 CC,Max Power108.6 bhp,Torque250Nm@ 1500-3000rpm,Wheel SizeN/A,Seats5,
257,2015Volkswagen Vento 1.5 TDI Highline AT BSIV,Volkswagen,6.65 Lakh*,2015,Dealer,"80,000 kms",First Owner,Diesel,Automatic,Mileage22.15 kmpl,Engine1498 CC,Max Power108.6 bhp,Torque250Nm@ 1500-3000rpm,Wheel SizeN/A,Seats5,
258,2012Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,3 Lakh*,2012,Dealer,"75,000 kms",Second Owner,Diesel,Manual,Mileage22.07 kmpl,Engine1199 CC,Max Power73.9 bhp,Torque180Nm@ 2000rpm,Wheel SizeN/A,Seats5,
259,2013Volkswagen Polo 1.5 TDI Comfortline,Volkswagen,3.35 Lakh*,2013,Dealer,"70,123 kms",Second Owner,Diesel,Manual,Mileage20.14 kmpl,Engine1498 CC,Max Power88.8 bhp,Torque230Nm@ 1500-2500rpm,Wheel Size15,Seats5,
260,2017Volkswagen Polo GT TSI,Volkswagen,7.9 Lakh*,2017,Dealer,"43,866 kms",First Owner,Petrol,Automatic,Mileage17.2 kmpl,Engine1197 CC,Max Power103.6 bhp,Torque175Nm@ 1500-4100rpm,Wheel SizeN/A,Seats5,
261,2016Volkswagen Ameo 1.2 MPI Comfortline Plus,Volkswagen,5.25 Lakh*,2016,Dealer,"55,282 kms",First Owner,Petrol,Manual,Mileage17.0 kmpl,Engine1198 CC,Max Power73.75 bhp,Torque110Nm@ 3750rpm,Wheel Size15,Seats5,
262,2016Volkswagen Polo 1.0 MPI Trendline,Volkswagen,4.35 Lakh*,2016,Dealer,"37,895 kms",First Owner,Petrol,Manual,Mileage17.75 kmpl,Engine999 CC,Max Power75.10 bhp,Torque95Nm@ 2950-3800rpm,Wheel Size14,Seats5,
263,2013Volkswagen Polo 1.0 MPI Comfortline BSIV,Volkswagen,3.65 Lakh*,2013,Dealer,"53,000 kms",Second Owner,Petrol,Manual,Mileage18.78 kmpl,Engine999 CC,Max Power75 bhp,Torque95Nm@ 3000-4300rpm,Wheel SizeN/A,Seats5,
264,2018Volkswagen Ameo 1.0 MPI Comfortline,Volkswagen,6 Lakh*,2018,Individual,"14,800 kms",First Owner,Petrol,Manual,Variant -  1.0 MPI Comfortline,Mileage19.44 kmpl,Engine999 CC,Max Power75 bhp,Torque95Nm@ 3000-4300rpm,Wheel Size15,Seats5
265,2013Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,3.5 Lakh*,2013,Individual,"90,000 kms",First Owner,Diesel,Manual,Mileage22.07 kmpl,Engine1199 CC,Max Power73.9 bhp,Torque180Nm@ 2000rpm,Wheel SizeN/A,Seats5,
266,2011Volkswagen Polo Petrol Trendline 1.2L,Volkswagen,2.6 Lakh*,2011,Dealer,"86,606 kms",First Owner,Petrol,Manual,Mileage16.47 kmpl,Engine1198 CC,Max Power73.9 bhp,Torque110Nm@ 3750rpm,Wheel SizeN/A,Seats5,
267,2013Volkswagen Vento Diesel Comfortline,Volkswagen,4.35 Lakh*,2013,Dealer,"91,000 kms",First Owner,Diesel,Manual,Variant -  Diesel Comfortline,Mileage20.54 kmpl,Engine1598 CC,Max Power103.6 bhp,Torque250Nm@ 1500-2500rpm,Wheel SizeR15,Seats5
268,2016Volkswagen Polo 2015-2019 1.5 TDI Highline,Volkswagen,6 Lakh*,2016,Individual,"90,000 kms",First Owner,Diesel,Manual,Mileage20.14 kmpl,Engine1498 CC,Max Power88 bhp,Torque230Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,
269,2012Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen,2.6 Lakh*,2012,Individual,"2,00,000 kms",First Owner,Diesel,Manual,Mileage22.07 kmpl,Engine1199 CC,Max Power73.9 bhp,Torque180Nm@ 2000rpm,Wheel SizeN/A,Seats5,
270,2012Volkswagen Polo Diesel Highline 1.2L,Volkswagen,4.35 Lakh*,2012,Individual,"80,000 kms",First Owner,Diesel,Manual,Variant -  Diesel Highline 1.2L,Mileage22.07 kmpl,Engine1199 CC,Max Power73.9 bhp,Torque180Nm@ 2000rpm,Wheel SizeN/A,Seats5
271,2010Volkswagen Vento Petrol Highline,Volkswagen,2.7 Lakh*,2010,Individual,"90,108 kms",Second Owner,Petrol,Manual,Mileage15.04 kmpl,Engine1598 CC,Max Power103.6 bhp,Torque153Nm@ 3800rpm,Wheel SizeN/A,Seats5,
272,2015Volkswagen Polo 1.5 TDI Highline,Volkswagen,5 Lakh*,2015,Dealer,"65,201 kms",First Owner,Diesel,Manual,Mileage20.14 kmpl,Engine1498 CC,Max Power88.8 bhp,Torque230Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,
273,2020Volkswagen Tiguan 2.0 TDI Highline,Volkswagen,28 Lakh*,2020,Individual,"10,000 kms",First Owner,Diesel,Automatic,Mileage16.65 kmpl,Engine1968 CC,Max Power141 bhp,Torque340Nm@ 1750-2750rpm,Wheel SizeN/A,Seats5,
